underlying,pair,kind,quality,window_days,session,n,days,blocks,expected,coverage,mean,median,abs_median,abs_p90,abs_p95,std,min,max,positive_share,day_abs_median_p25,day_abs_median_p75,eligible,evidence,above_10,above_30,above_50,above_100
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,7,all,2016,7,2,2016,1.0,1.2364180550844015,1.128283028440924,2.778581350643683,7.133619148260162,9.539966225869945,4.938604606158027,-50.74804622656859,34.44803646192263,0.5997023809523809,2.4858395016247314,3.4746851104866527,True,K线收盘代理；达到描述性样本门槛,0.04513888888888889,0.00248015873015873,0.000496031746031746,0.0
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,7,regular,390,5,1,390,1.0,2.6838897004898503,3.0394460120797273,3.9037935291097448,9.724991716360101,15.298750759265761,7.253062878645238,-50.74804622656859,34.44803646192263,0.7410256410256411,3.1216996243055295,4.769667085016138,True,K线收盘代理；达到描述性样本门槛,0.09230769230769231,0.01282051282051282,0.002564102564102564,0.0
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,7,non_regular,1626,7,2,1626,1.0,0.8892385091384453,0.7849681527005714,2.5898394206785857,6.399106608554472,8.433529690905495,4.12296116849501,-16.528094969540106,25.9456579648365,0.5658056580565806,2.4478566955160597,3.1734061844829187,True,K线收盘代理；达到描述性样本门槛,0.033825338253382534,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,7,pre_market,330,5,1,330,1.0,1.5282822508213858,1.345255559355163,3.0618956979266976,7.917052846742047,10.791716616877833,4.818663018524158,-12.25658648339123,25.9456579648365,0.6181818181818182,2.6760503535638858,3.1615056009504094,True,K线收盘代理；达到描述性样本门槛,0.06363636363636363,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,7,after_market,240,5,1,240,1.0,2.82936590149499,2.7605868259172883,2.81717357872191,5.86956207314837,7.415939004062339,2.6178808541070033,-4.507691605423192,12.742114394608262,0.9,2.035452584420172,3.5152387192316503,True,K线收盘代理；达到描述性样本门槛,0.025,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,7,overnight,480,5,1,480,1.0,2.253947816367304,2.320598933371887,2.994284624718846,7.685782586146497,9.700437058541327,4.39993837651632,-13.270917093164414,24.951048951049604,0.7479166666666667,2.5718211822667314,3.489545517242343,True,K线收盘代理；达到描述性样本门槛,0.05,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,7,weekend,576,2,1,576,1.0,-1.4225244707066822,-1.541471343979306,1.9289415637546714,4.347643601761431,5.607057642296742,2.6450592559880386,-16.528094969540106,11.242937853106483,0.24479166666666666,1.6813739308793596,2.319720035256767,False,样本不足 / 仅事件观察,0.006944444444444444,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,7,holiday,0,0,0,0,0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,30,all,7504,30,5,8640,0.8685185185185185,0.6595880804717871,0.856997912555002,2.099129468690064,6.330294151337896,9.014715233031543,10.852825557260836,-481.21237853273715,84.14394370569678,0.6110074626865671,1.76823995940531,3.1003970122794877,True,K线收盘代理；达到描述性样本门槛,0.039445628997867806,0.0037313432835820895,0.0010660980810234541,0.0005330490405117271
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,30,regular,1529,21,5,1638,0.9334554334554335,1.191234912307549,1.1790623351637386,2.505086547683888,8.072569983236466,10.829364578249566,6.83369834135807,-52.91770475207569,84.14394370569678,0.6429038587311968,1.9461648448598767,3.1216996243055295,True,K线收盘代理；达到描述性样本门槛,0.06213211249182472,0.010464355788096796,0.001962066710268149,0.0
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,30,non_regular,5975,30,5,7002,0.8533276206798057,0.5235398786513887,0.7951021706298356,2.0359918107870634,5.798865742173478,8.24667500424814,11.656905653410345,-481.21237853273715,35.93116827955045,0.6028451882845188,1.7272993639531886,3.086268620446919,True,K线收盘代理；达到描述性样本门槛,0.03364016736401674,0.0020083682008368202,0.0008368200836820083,0.0006694560669456067
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,30,pre_market,1311,21,5,1386,0.9458874458874459,1.0967658437584877,0.914429037042197,2.4528386032196536,7.996758647161872,11.443411821405736,5.340034039568836,-42.25319900742153,35.93116827955045,0.6155606407322655,1.8667847136277782,3.6194234608677434,True,K线收盘代理；达到描述性样本门槛,0.07170099160945843,0.002288329519450801,0.0,0.0
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,30,after_market,829,20,5,1008,0.8224206349206349,1.6928919223480952,1.7247326664371343,2.1405315277767123,5.504634535510979,7.380580246520103,3.3210509782623916,-18.942776232875325,16.46211791232144,0.7310012062726177,1.5640019043419717,3.0391225512776954,True,K线收盘代理；达到描述性样本门槛,0.027744270205066344,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,30,overnight,1770,21,5,2016,0.8779761904761905,1.2410473353486375,1.335169524089297,2.288831965805427,6.597581844836726,8.892157141573986,4.370391785979903,-39.16023814969471,30.459651299015178,0.6802259887005649,1.8168840438648193,3.066062230636657,True,K线收盘代理；达到描述性样本门槛,0.03615819209039548,0.001694915254237288,0.0,0.0
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,30,weekend,1779,8,4,2304,0.7721354166666666,-1.0465149953095179,0.0,1.7991274232009857,4.093546419757121,5.269137854616798,20.16691923994789,-481.21237853273715,14.041151374413197,0.49072512647554806,1.6111519126041363,2.929556306089931,True,K线收盘代理；达到描述性样本门槛,0.010680157391793142,0.003372681281618887,0.002810567734682406,0.0022484541877459247
SNDK,aster|futures|SNDKUSD1::binance|futures|SNDKUSDT,perp_perp,reference,30,holiday,286,1,1,288,0.9930555555555556,-0.16790299567607334,-0.30605883190037986,0.8415621933649531,2.6749823577487675,3.471734229591461,1.9097173896300408,-9.06202452340521,13.414230309425346,0.3916083916083916,0.8415621933649531,0.8415621933649531,False,样本不足 / 仅事件观察,0.0034965034965034965,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,7,all,2016,7,2,2016,1.0,0.4821398680147948,0.16945323791484057,2.315115471856477,6.890084596345991,9.460816657685388,4.8981337048860105,-48.28320524579155,36.04367645499984,0.5173611111111112,2.0346757277986405,2.9362728002244043,True,K线收盘代理；达到描述性样本门槛,0.040674603174603176,0.00248015873015873,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,7,regular,390,5,1,390,1.0,1.6145960730688624,1.7802466599836642,3.4346587783506966,9.78223591703487,15.474637029086024,7.368618749727432,-48.28320524579155,36.04367645499984,0.6487179487179487,2.660374929231435,4.004652363808203,True,K线收盘代理；达到描述性样本门槛,0.09743589743589744,0.01282051282051282,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,7,non_regular,1626,7,2,1626,1.0,0.2105175310092066,-0.056199226958764115,2.1423537855824737,6.347813186008966,8.310275460704508,4.042480537532279,-17.531419765837164,25.736281443022868,0.4858548585485855,1.870984502709283,2.7026167927973743,True,K线收盘代理；达到描述性样本门槛,0.02706027060270603,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,7,pre_market,330,5,1,330,1.0,0.5510495795581813,0.5440649784327345,2.7509510130985237,8.317094508968566,9.839956049696175,4.918521376967996,-12.142178031822048,25.14450097221843,0.5393939393939394,2.6904294901308745,3.16344636993815,True,K线收盘代理；达到描述性样本门槛,0.045454545454545456,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,7,after_market,240,5,1,240,1.0,1.2445926902082776,0.7379895428794025,1.8512300113943114,5.9587049853815355,6.938005554097847,3.289243997550435,-6.503471370464808,13.293700381262763,0.6416666666666667,1.2091664493452114,1.9055357258090933,True,K线收盘代理；达到描述性样本门槛,0.0125,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,7,overnight,480,5,1,480,1.0,1.070025474395,1.2224863352816584,2.52849001645461,7.271598687508042,9.851942635480558,4.649965213672591,-15.1448860768022,25.736281443022868,0.6145833333333334,2.3452904962462107,2.6019137731975173,True,K线收盘代理；达到描述性样本门槛,0.04791666666666667,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,7,weekend,576,2,1,576,1.0,-1.1317002242930843,-1.2371422580564895,1.7421582814336478,4.150795906631144,5.229148104173575,2.6106681359497155,-17.531419765837164,12.826887869268333,0.2829861111111111,1.5338149076772611,1.9890477044652577,False,样本不足 / 仅事件观察,0.005208333333333333,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,7,holiday,0,0,0,0,0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,30,all,7504,30,5,8640,0.8685185185185185,0.23815280864654603,0.4588462643406732,2.2302531305296025,6.513228042616113,9.065973002920273,10.86819265383833,-477.69107985723423,82.70929525731052,0.5510394456289979,1.9808785217952096,3.1066889761319216,True,K线收盘代理；达到描述性样本门槛,0.03837953091684435,0.003598081023454158,0.0009328358208955224,0.0005330490405117271
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,30,regular,1529,21,5,1638,0.9334554334554335,0.7430913926851689,0.9034239768723751,2.670443990340221,8.227323628431815,11.146424361025526,6.905655421554828,-51.348135096219714,82.70929525731052,0.5873119686069327,2.1461838022840407,2.9985580751912266,True,K线收盘代理；达到描述性样本门槛,0.06540222367560497,0.010464355788096796,0.0013080444735120995,0.0
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,30,non_regular,5975,30,5,7002,0.8533276206798057,0.10893923626243653,0.33971430027257554,2.1487312718526663,6.080722743761591,8.287102386770108,11.664414214694219,-477.69107985723423,37.65959401120567,0.5417573221757322,1.8774131404954153,3.122677565093462,True,K线收盘代理；达到描述性样本门槛,0.031464435146443516,0.0018410041841004183,0.0008368200836820083,0.0006694560669456067
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,30,pre_market,1311,21,5,1386,0.9458874458874459,0.34920514088469295,0.2688172043008308,2.5838124152177677,8.218575274383522,11.335178744276142,5.563117046181671,-41.45605086800397,37.65959401120567,0.5240274599542334,1.9377109233564838,3.431218368454836,True,K线收盘代理；达到描述性样本门槛,0.06559877955758962,0.002288329519450801,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,30,after_market,829,20,5,1008,0.8224206349206349,1.2536125379753031,0.9650087815793462,2.1532880055330494,5.933684354254344,7.927794594675394,3.585996347385223,-18.44220960723897,19.799569407421558,0.6393244873341375,1.2788160683033234,2.9557157071960494,True,K线收盘代理；达到描述性样本门槛,0.020506634499396863,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,30,overnight,1770,21,5,2016,0.8779761904761905,0.5294715562294326,0.6191448874048877,2.3367997319478917,6.702585312566182,8.97436931797024,4.611104052367615,-43.23185855422685,26.383043211704038,0.5677966101694916,1.9089778811209879,2.649035398168964,True,K线收盘代理；达到描述性样本门槛,0.0384180790960452,0.0011299435028248588,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,30,weekend,1779,8,4,2304,0.7721354166666666,-1.0990235301379454,-0.16830294530145729,2.020028892535386,4.2257109951995275,5.417577109750325,20.098251810394153,-477.69107985723423,12.826887869268333,0.4744238336143901,1.9201514478706105,2.59187256773985,True,K线收盘代理；达到描述性样本门槛,0.008993816750983699,0.003372681281618887,0.002810567734682406,0.0022484541877459247
SNDK,aster|futures|SNDKUSD1::bitget|futures|SNDKUSDT,perp_perp,reference,30,holiday,286,1,1,288,0.9930555555555556,0.600900029986043,0.3619232765816882,1.0109596828666856,3.2955518514254933,4.241503871293406,2.15911572848157,-9.341455365183826,13.470432400879417,0.5979020979020979,1.0109596828666856,1.0109596828666856,False,样本不足 / 仅事件观察,0.0034965034965034965,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,7,all,2016,7,2,2016,1.0,-0.6464948553341375,-0.9532168476800162,2.667370888151943,6.77518561770396,8.959900708619683,4.906586284699486,-50.800476386209105,32.161837092612444,0.40228174603174605,2.3430102146393406,2.9182187123769077,True,K线收盘代理；达到描述性样本门槛,0.03720238095238095,0.00248015873015873,0.000496031746031746,0.0
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,7,regular,390,5,1,390,1.0,0.747825858784694,0.933033518971671,2.724659724552825,8.788085460537559,14.506980306944799,7.312698846951956,-50.800476386209105,32.161837092612444,0.5846153846153846,2.321328017379498,3.7655909970346624,True,K线收盘代理；达到描述性样本门槛,0.08461538461538462,0.01282051282051282,0.002564102564102564,0.0
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,7,non_regular,1626,7,2,1626,1.0,-0.9809260229272152,-1.389042031461063,2.6590087800160145,6.289564037624817,8.127061153187508,4.05518753901869,-17.587154119301786,25.251314506720135,0.35854858548585483,2.250464398824703,2.796708174120921,True,K线收盘代理；达到描述性样本门槛,0.025830258302583026,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,7,pre_market,330,5,1,330,1.0,-0.12285662443355484,-0.32481744672130386,2.827946303303741,7.714863438231358,9.66802087780927,4.770452930336124,-12.942982154720006,25.251314506720135,0.4636363636363636,2.702515357383972,3.041992962222184,True,K线收盘代理；达到描述性样本门槛,0.045454545454545456,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,7,after_market,240,5,1,240,1.0,0.7004570536926399,0.48375102817521665,1.5248345560214815,4.84936445545181,5.654102270343681,2.808335032196556,-6.446460151748878,10.252106196946276,0.5666666666666667,1.1264305771463423,1.654600074832424,True,K线收盘代理；达到描述性样本门槛,0.004166666666666667,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,7,overnight,480,5,1,480,1.0,0.18163551433439395,0.08139816194185912,2.243273975983673,7.044250723794777,9.028200099857937,4.403609897404699,-15.933804824869169,24.16593945089529,0.5125,2.0533404712108627,2.626711367170742,True,K线收盘代理；达到描述性样本门槛,0.0375,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,7,weekend,576,2,1,576,1.0,-3.1419058454571553,-3.1944674373524107,3.253684248307187,5.836806657528171,6.814340952599474,2.5576825385345225,-17.587154119301786,10.507702824085197,0.08333333333333333,3.1619753423343946,3.2773926492192516,False,样本不足 / 仅事件观察,0.013888888888888888,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,7,holiday,0,0,0,0,0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,30,all,7504,30,5,8640,0.8685185185185185,0.4156318294916365,0.7315456417389399,2.430243550475275,6.5282628868079655,8.942107941444835,10.884153226111717,-477.7563127680273,83.8178513914678,0.5872867803837953,2.082442137646967,3.0084369986857484,True,K线收盘代理；达到描述性样本门槛,0.03851279317697228,0.003464818763326226,0.0010660980810234541,0.0005330490405117271
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,30,regular,1529,21,5,1638,0.9334554334554335,0.805148603581033,0.9813029085825598,2.5394544508594574,8.184117876728791,11.424477021936493,6.887713864291877,-54.15992953950899,83.8178513914678,0.605624591236102,2.183660931285303,3.3704979352466857,True,K线收盘代理；达到描述性样本门槛,0.06474820143884892,0.010464355788096796,0.001962066710268149,0.0
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,30,non_regular,5975,30,5,7002,0.8533276206798057,0.3159546499798897,0.6786370705502698,2.407638550093738,6.214169282590112,8.41726604831783,11.687219099003675,-477.7563127680273,37.429102849664275,0.5825941422594142,2.055523284722749,3.0795799620787765,True,K线收盘代理；达到描述性样本门槛,0.031799163179916316,0.0016736401673640166,0.0008368200836820083,0.0006694560669456067
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,30,pre_market,1311,21,5,1386,0.9458874458874459,0.7544431785365053,0.6194891279664994,2.5826446280996507,8.416311721988201,11.087466290617964,5.4311971901876746,-41.228270814273046,37.429102849664275,0.5636918382913806,2.418219468798277,3.363501003861291,True,K线收盘代理；达到描述性样本门槛,0.06788710907704043,0.002288329519450801,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,30,after_market,829,20,5,1008,0.8224206349206349,1.067568735292706,0.9127656800100858,1.9456893253000374,5.160637306345974,7.0205220728900555,3.4040525609185925,-18.327157042988816,17.681313542221577,0.6344993968636912,1.4690081501561592,3.230692107749622,True,K线收盘代理；达到描述性样本门槛,0.024125452352231604,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,30,overnight,1770,21,5,2016,0.8779761904761905,0.6487381554355586,0.7791728376183027,2.2636901669942366,6.7567766011450425,8.604342001809373,4.4273529097254904,-40.60984060983985,28.17910612292751,0.6050847457627119,2.0087561365200735,2.626711367170742,True,K线收盘代理；达到描述性样本门槛,0.03220338983050847,0.0011299435028248588,0.0,0.0
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,30,weekend,1779,8,4,2304,0.7721354166666666,-0.8940125755989679,0.061444687491363226,2.750413965367793,5.422296005584749,6.4378784141124745,20.23195471030291,-477.7563127680273,12.904385565064569,0.5030916245081506,2.628922673123535,3.2986298992460084,True,K线收盘代理；达到描述性样本门槛,0.012928611579539067,0.002810567734682406,0.002810567734682406,0.0022484541877459247
SNDK,aster|futures|SNDKUSD1::bybit|futures|SNDKUSDT,perp_perp,reference,30,holiday,286,1,1,288,0.9930555555555556,1.594130705875714,1.5136143646887756,1.6150522831159808,3.618898911900148,4.58669851981397,1.8412325375963434,-6.602358944518549,11.110487626957433,0.8741258741258742,1.6150522831159808,1.6150522831159808,False,样本不足 / 仅事件观察,0.0034965034965034965,0.0,0.0,0.0
SNDK,aster|futures|SNDKUSD1::gateio|futures|SNDK_USDT,perp_perp,reference,7,all,2016,7,2,2016,1.0,0.7689542381810285,0.5664424303719606,2.494493707910217,7.164335934786714,9.504451783773348,4.937268124483352,-49.06998930052864,35.03304554296038,0.5659722222222222,2.235828631422243,2.736599566552367,True,K线收盘代理；达到描述性样本门槛,0.044642857142857144,0.001984126984126984,0.0,0.0
SNDK,aster|futures|SNDKUSD1::gateio|futures|SNDK_USDT,perp_perp,reference,7,regular,390,5,1,390,1.0,1.6857180857228518,1.5037194299083456,3.336085975861325,9.721744048951885,16.155721731407528,7.375257705010511,-49.06998930052864,35.03304554296038,0.6666666666666666,2.5210964185196083,3.877000064836933,True,K线收盘代理；达到描述性样本门槛,0.1,0.010256410256410256,0.0,0.0
